Titre,XP,Tri,M,M1,M2
A0,0.166666666666667,OBA,2,13,13
A0,0.166666666666667,OBA,0,0,0
A0,0,OBA,3,15,19
A3,2.58333333333333,MMU,0,4,19
A0,0.25,YRE,0,0,19
A0,0.25,YRE,0,0,0
A0,0.25,YRE,0,11,19
A0,1.16666666666667,YRE,0,0,0
A1,0.416666666666667,ERS,0,0,0
A0,0.166666666666667,YRE,0,0,0
A1,0.166666666666667,YRE,0,0,0
A0,0.166666666666667,YRE,0,0,10.5
A1,0.166666666666667,YRE,0,0,0
A0,0.166666666666667,YRE,0,23,16
